x[m];y[m];z[m];N_ip[MN];V_ip[MN];V_op[MN]
0.5;7.0;0.92700050739;0.0908321657623;-3.9697802337e-13;1.72951065424e-05
1.5;7.0;0.926999955989;-0.0364464757734;9.34616967152e-14;1.72946044703e-05
2.5;7.0;0.926999205656;-0.0491405257762;1.64351171561e-13;2.04368353949e-05
3.5;7.0;0.927000002831;-0.0204910276257;-2.62035185217e-13;2.19956516949e-05
4.5;7.0;0.926999205656;-0.0154273538684;-1.66328756324e-13;2.043683481e-05
5.5;7.0;0.926999955989;-0.0854814829791;9.20548359762e-14;1.72946048978e-05
6.5;7.0;0.92700050739;0.116154700264;1.58588420174e-14;1.72951066881e-05
7.5;7.0;0.92700050739;0.153627943639;-2.22169505015e-13;1.72951063929e-05
8.5;7.0;0.926999955989;0.0436039932726;-9.80888547469e-14;1.72946048306e-05
9.5;7.0;0.926999205656;0.0144129550115;3.09114712993e-14;2.04368349246e-05
11.5;7.0;0.926999205656;-0.000296543451062;2.94668803247e-14;2.04368350386e-05
12.5;7.0;0.926999955989;0.000283137981777;4.6347257629e-14;1.72946047393e-05
13.5;7.0;0.92700050739;-0.0247590023595;-1.14081270472e-13;1.72951062346e-05
7.0;0.5;0.927000505214;-0.148140379634;-9.51495826573e-16;0.00955829346267
7.0;1.5;0.926999954865;0.0224376811643;-8.84708972748e-16;0.0248041521735
7.0;2.5;0.926999199743;0.0440634702029;1.71390679427e-15;0.0335590062294
7.0;3.5;0.927;0.0451757839683;-3.31679128607e-15;0.0357358173784
7.0;4.5;0.926999199743;0.0732395627769;3.10862446895e-15;0.0452637288208
7.0;5.5;0.926999954865;0.0504266515974;9.12464548364e-16;0.0318244356549
7.0;6.5;0.927000505214;-0.181054039002;5.73542949245e-15;0.00708915271046
