-;U_x;U_y;U_z
G;-0.000419928966088;-0.000419913010731;-0.00517439041685
S_sym;-0.000134470199928;-0.000134465752615;-0.0013489565049
S_asym;0.000339674236147;-0.000232930368774;-0.00230599619837
W_asym;0.0013276205852;-0.000463705992427;-0.0029363823662
W_pos;0.00104277292929;-0.000408919527031;-0.00259958971306
W_neg;0.000912019166911;-0.000282027277704;-0.00143231149938
T_shrinkage;-0.00906252599276;-1.54775773808e-05;-0.016669401818
komb_out;-0.00869351939752;-0.00180922528344;-0.0196125517159
komb_int;-0.00869351939752;-0.00127021548549;-0.0237963375055
